id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,start-position,end-position
1088407,"ENSG00000081248",775,"CACNA1S","calcium channel, voltage-dependent, L type, alpha 1S subunit",779,"1","n/a","n/a"
1087876,"ENSG00000067191",778,"CACNB1","calcium channel, voltage-dependent, beta 1 subunit",782,"17","n/a","n/a"
1098687,"ENSG00000165995",779,"CACNB2","calcium channel, voltage-dependent, beta 2 subunit",783,"10","n/a","n/a"
1099072,"ENSG00000167535",780,"CACNB3","calcium channel, voltage-dependent, beta 3 subunit",784,"12","n/a","n/a"
1102095,"ENSG00000182389",781,"CACNB4","calcium channel, voltage-dependent, beta 4 subunit",785,"2","n/a","n/a"
1095837,"ENSG00000147044",8507,"CASK","calcium/calmodulin-dependent serine protein kinase (MAGUK family)",8573,"X","n/a","n/a"
1100824,"ENSG00000175294",78440,"CATSPER1","cation channel, sperm associated 1",117144,"11","n/a","n/a"
1098881,"ENSG00000166762",78451,"CATSPER2","cation channel, sperm associated 2",117155,"15","n/a","n/a"
1103645,"ENSG00000188782",119766,"CATSPER4","cation channel, sperm associated 4",378807,"1","n/a","n/a"
1091922,"ENSG00000120217",28861,"CD274","CD274 molecule",29126,"9","n/a","n/a"
1091142,"ENSG00000114013",937,"CD86","CD86 molecule",942,"3","n/a","n/a"
1092257,"ENSG00000123146",971,"CD97","CD97 molecule",976,"19","n/a","n/a"
1103551,"ENSG00000188419",1113,"CHM","choroideremia (Rab escort protein 1)",1121,"X","n/a","n/a"
1104880,"ENSG00000203668",1114,"CHML","choroideremia-like (Rab escort protein 2)",1122,"1","n/a","n/a"
1099350,"ENSG00000168539",1120,"CHRM1","cholinergic receptor, muscarinic 1",1128,"11","n/a","n/a"
1101858,"ENSG00000181072",1121,"CHRM2","cholinergic receptor, muscarinic 2",1129,"7","n/a","n/a"
1093605,"ENSG00000133019",1123,"CHRM3","cholinergic receptor, muscarinic 3",1131,"1","n/a","n/a"
1101779,"ENSG00000180720",1124,"CHRM4","cholinergic receptor, muscarinic 4",1132,"11","n/a","n/a"
1102712,"ENSG00000184984",1125,"CHRM5","cholinergic receptor, muscarinic 5",1133,"15","n/a","n/a"
1095020,"ENSG00000141367",1204,"CLTC","clathrin, heavy chain (Hc)",1213,"17","n/a","n/a"
1087982,"ENSG00000070371",8167,"CLTCL1","clathrin, heavy chain-like 1",8218,"22","n/a","n/a"
1093979,"ENSG00000135392",59568,"DNAJC14","DnaJ (Hsp40) homolog, subfamily C, member 14",85406,"12","n/a","n/a"
1091433,"ENSG00000116138",23096,"DNAJC16","DnaJ (Hsp40) homolog, subfamily C, member 16",23341,"1","n/a","n/a"
1099792,"ENSG00000170464",83676,"DNAJC18","DnaJ (Hsp40) homolog, subfamily C, member 18",202052,"5","n/a","n/a"
1099386,"ENSG00000168724",79592,"DNAJC21","DnaJ (Hsp40) homolog, subfamily C, member 21",134218,"5","n/a","n/a"
1099904,"ENSG00000170946",78796,"DNAJC24","DnaJ (Hsp40) homolog, subfamily C, member 24",120526,"11","n/a","n/a"
1091265,"ENSG00000115137",30758,"DNAJC27","DnaJ (Hsp40) homolog, subfamily C, member 27",51277,"2","n/a","n/a"
1101035,"ENSG00000176410",58487,"DNAJC30","DnaJ (Hsp40) homolog, subfamily C, member 30",84277,"7","n/a","n/a"
1090623,"ENSG00000110011",3318,"DNAJC4","DnaJ (Hsp40) homolog, subfamily C, member 4",3338,"11","n/a","n/a"
1089332,"ENSG00000101152",56132,"DNAJC5","DnaJ (Hsp40) homolog, subfamily C, member 5",80331,"20","n/a","n/a"
1095917,"ENSG00000147570",59627,"DNAJC5B","DnaJ (Hsp40) homolog, subfamily C, member 5 beta",85479,"8","n/a","n/a"
1098084,"ENSG00000163793",94475,"DNAJC5G","DnaJ (Hsp40) homolog, subfamily C, member 5 gamma",285126,"2","n/a","n/a"
1096196,"ENSG00000149927",8387,"DOC2A","double C2-like domains, alpha",8448,"16","n/a","n/a"
1090629,"ENSG00000110047",10780,"EHD1","EH-domain containing 1",10938,"11","n/a","n/a"
1087308,"ENSG00000024422",29837,"EHD2","EH-domain containing 2",30846,"19","n/a","n/a"
1087190,"ENSG00000013016",29836,"EHD3","EH-domain containing 3",30845,"2","n/a","n/a"
1089746,"ENSG00000103966",29835,"EHD4","EH-domain containing 4",30844,"15","n/a","n/a"
1097731,"ENSG00000162618",40756,"ELTD1","EGF, latrophilin and seven transmembrane domain containing 1",64123,"1","n/a","n/a"
1100729,"ENSG00000174837",2000,"EMR1","egf-like module containing, mucin-like, hormone receptor-like 1",2015,"19","n/a","n/a"
1092832,"ENSG00000127507",29808,"EMR2","egf-like module containing, mucin-like, hormone receptor-like 2",30817,"19","n/a","n/a"
1093340,"ENSG00000131355",58856,"EMR3","egf-like module containing, mucin-like, hormone receptor-like 3",84658,"19","n/a","n/a"
1088548,"ENSG00000085832",2045,"EPS15","epidermal growth factor receptor pathway substrate 15",2060,"1","n/a","n/a"
1092836,"ENSG00000127527",37327,"EPS15L1","epidermal growth factor receptor pathway substrate 15-like 1",58513,"19","n/a","n/a"
1098154,"ENSG00000164010",77355,"ERMAP","erythroblast membrane-associated protein (Scianna blood group)",114625,"1","n/a","n/a"
1088785,"ENSG00000090989",35052,"EXOC1","exocyst complex component 1",55763,"4","n/a","n/a"
1095204,"ENSG00000142694",34483,"FAM176B","family with sequence similarity 176, member B",55194,"1","n/a","n/a"
1090242,"ENSG00000106701",58090,"FSD1L","fibronectin type III and SPRY domain containing 1-like",83856,"9","n/a","n/a"
1104952,"ENSG00000203879",2648,"GDI1","GDP dissociation inhibitor 1",2664,"X","n/a","n/a"
1087647,"ENSG00000057608",2649,"GDI2","GDP dissociation inhibitor 2",2665,"10","n/a","n/a"
1096581,"ENSG00000153292",92434,"GPR110","G protein-coupled receptor 110",266977,"6","n/a","n/a"
1098295,"ENSG00000164393",85862,"GPR111","G protein-coupled receptor 111",222611,"6","n/a","n/a"
1100503,"ENSG00000173567",81654,"GPR113","G protein-coupled receptor 113",165082,"2","n/a","n/a"
1096582,"ENSG00000153294",85747,"GPR115","G protein-coupled receptor 115",221393,"6","n/a","n/a"
1087939,"ENSG00000069122",85748,"GPR116","G protein-coupled receptor 116",221395,"6","n/a","n/a"
1104196,"ENSG00000197177",58636,"GPR123","G protein-coupled receptor 123",84435,"10","n/a","n/a"
1087264,"ENSG00000020181",25709,"GPR124","G protein-coupled receptor 124",25960,"8","n/a","n/a"
1096538,"ENSG00000152990",81680,"GPR125","G protein-coupled receptor 125",166647,"4","n/a","n/a"
1095552,"ENSG00000144820",59063,"GPR128","G protein-coupled receptor 128",84873,"3","n/a","n/a"
1104013,"ENSG00000196639",3249,"HRH1","histamine receptor H1",3269,"3","n/a","n/a"
1089338,"ENSG00000101180",11094,"HRH3","histamine receptor H3",11255,"20","n/a","n/a"
1093822,"ENSG00000134489",37764,"HRH4","histamine receptor H4",59340,"18","n/a","n/a"
1086898,"ENSG00000003147",3362,"ICA1","islet cell autoantigen 1, 69kDa",3382,"7","n/a","n/a"
1098014,"ENSG00000163596",79401,"ICA1L","islet cell autoantigen 1,69kDa-like",130026,"2","n/a","n/a"
1089163,"ENSG00000100360",10862,"IFT27","intraflagellar transport 27 homolog (Chlamydomonas)",11020,"22","n/a","n/a"
1096277,"ENSG00000150995",3683,"ITPR1","inositol 1,4,5-trisphosphate receptor, type 1",3708,"3","n/a","n/a"
1092248,"ENSG00000123104",3684,"ITPR2","inositol 1,4,5-trisphosphate receptor, type 2",3709,"12","n/a","n/a"
1088942,"ENSG00000096433",3685,"ITPR3","inositol 1,4,5-trisphosphate receptor, type 3",3710,"6","n/a","n/a"
1105546,"ENSG00000205726",6417,"ITSN1","intersectin 1 (SH3 domain protein)",6453,"21","n/a","n/a"
1104596,"ENSG00000198399",30108,"ITSN2","intersectin 2",50618,"2","n/a","n/a"
1096887,"ENSG00000156113",3753,"KCNMA1","potassium large conductance calcium-activated channel, subfamily M, alpha member 1",3778,"10","n/a","n/a"
1090279,"ENSG00000107147",36855,"KCNT1","potassium channel, subfamily T, member 1",57582,"9","n/a","n/a"
1097752,"ENSG00000162687",110066,"KCNT2","potassium channel, subfamily T, member 2",343450,"1","n/a","n/a"
1106295,"ENSG00000215262",81324,"KCNU1","potassium channel, subfamily U, member 1",157855,"8","n/a","n/a"
1093421,"ENSG00000131899",3971,"LLGL1","lethal giant larvae homolog 1 (Drosophila)",3996,"17","n/a","n/a"
1088101,"ENSG00000073350",3968,"LLGL2","lethal giant larvae homolog 2 (Drosophila)",3993,"17","n/a","n/a"
1088048,"ENSG00000072071",22615,"LPHN1","latrophilin 1",22859,"19","n/a","n/a"
1091565,"ENSG00000117114",23021,"LPHN2","latrophilin 2",23266,"1","n/a","n/a"
1096231,"ENSG00000150471",23039,"LPHN3","latrophilin 3",23284,"4","n/a","n/a"
1089682,"ENSG00000103313",4185,"MEFV","Mediterranean fever",4210,"16","n/a","n/a"
1099085,"ENSG00000167578",33211,"MIA","melanoma inhibitory activity",53916,"19","n/a","n/a"
1089466,"ENSG00000101871",4256,"MID1","midline 1 (Opitz/BBB syndrome)",4281,"X","n/a","n/a"
1088373,"ENSG00000080561",10885,"MID2","midline 2",11043,"X","n/a","n/a"
1108966,"ENSG00000240972",4257,"MIF","macrophage migration inhibitory factor (glycosylation-inhibiting factor)",4282,"22","n/a","n/a"
1093268,"ENSG00000130830",4328,"MPP1","membrane protein, palmitoylated 1, 55kDa",4354,"X","n/a","n/a"
1105583,"ENSG00000205857",111101,"NANOGNB","NANOG neighbor homeobox",360030,"12","n/a","n/a"
1088123,"ENSG00000073969",4874,"NSF","N-ethylmaleimide-sensitive factor",4905,"17","n/a","n/a"
1109157,"ENSG00000244623",57102,"OR2AE1","olfactory receptor, family 2, subfamily AE, member 1",81392,"7","n/a","n/a"
1103103,"ENSG00000186472",27189,"PCLO","piccolo (presynaptic cytomatrix protein)",27445,"7","n/a","n/a"
1104345,"ENSG00000197646",56154,"PDCD1LG2","programmed cell death 1 ligand 2",80380,"9","n/a","n/a"
1088514,"ENSG00000084733",10732,"RAB10","RAB10, member RAS oncogene family",10890,"2","n/a","n/a"
1089737,"ENSG00000103769",8693,"RAB11A","RAB11A, member RAS oncogene family",8766,"15","n/a","n/a"
1102787,"ENSG00000185236",9105,"RAB11B","RAB11B, member RAS oncogene family",9230,"19","n/a","n/a"
1105670,"ENSG00000206418",83641,"RAB12","RAB12, member RAS oncogene family",201475,"18","n/a","n/a"
1095352,"ENSG00000143545",5840,"RAB13","RAB13, member RAS oncogene family",5872,"1","n/a","n/a"
1091795,"ENSG00000119396",31032,"RAB14","RAB14, member RAS oncogene family",51552,"9","n/a","n/a"
1094831,"ENSG00000139998",119625,"RAB15","RAB15, member RAS onocogene family",376267,"14","n/a","n/a"
1092506,"ENSG00000124839",40886,"RAB17","RAB17, member RAS oncogene family",64284,"2","n/a","n/a"
1088960,"ENSG00000099246",22687,"RAB18","RAB18, member RAS oncogene family",22931,"10","n/a","n/a"
1095829,"ENSG00000146955",125615,"RAB19","RAB19, member RAS oncogene family",401409,"7","n/a","n/a"
1094513,"ENSG00000138069",5829,"RAB1A","RAB1A, member RAS oncogene family",5861,"2","n/a","n/a"
1100742,"ENSG00000174903",57555,"RAB1B","RAB1B, member RAS oncogene family",81876,"11","n/a","n/a"
1094808,"ENSG00000139832",34936,"RAB20","RAB20, member RAS oncogene family",55647,"13","n/a","n/a"
1088368,"ENSG00000080371",22766,"RAB21","RAB21, member RAS oncogene family",23011,"12","n/a","n/a"
1092388,"ENSG00000124209",36677,"RAB22A","RAB22A, member RAS oncogene family",57403,"20","n/a","n/a"
1090917,"ENSG00000112210",31195,"RAB23","RAB23, member RAS oncogene family",51715,"6","n/a","n/a"
1099511,"ENSG00000169228",33212,"RAB24","RAB24, member RAS oncogene family",53917,"5","n/a","n/a"
1093554,"ENSG00000132698",36389,"RAB25","RAB25, member RAS oncogene family",57111,"1","n/a","n/a"
1099199,"ENSG00000167964",25586,"RAB26","RAB26, member RAS oncogene family",25837,"16","n/a","n/a"
1087964,"ENSG00000069974",5841,"RAB27A","RAB27A, member RAS oncogene family",5873,"15","n/a","n/a"
1087444,"ENSG00000041353",5842,"RAB27B","RAB27B, member RAS oncogene family",5874,"18","n/a","n/a"
1097093,"ENSG00000157869",9229,"RAB28","RAB28, member RAS oncogene family",9364,"4","n/a","n/a"
1089799,"ENSG00000104388",5830,"RAB2A","RAB2A, member RAS oncogene family",5862,"8","n/a","n/a"
1093056,"ENSG00000129472",59122,"RAB2B","RAB2B, member RAS oncogene family",84932,"14","n/a","n/a"
1094401,"ENSG00000137502",27059,"RAB30","RAB30, member RAS oncogene family",27314,"11","n/a","n/a"
1099329,"ENSG00000168461",10873,"RAB31","RAB31, member RAS oncogene family",11031,"18","n/a","n/a"
1091721,"ENSG00000118508",10823,"RAB32","RAB32, member RAS oncogene family",10981,"6","n/a","n/a"
1093841,"ENSG00000134594",9228,"RAB33A","RAB33A, member RAS oncogene family",9363,"X","n/a","n/a"
1100167,"ENSG00000172007",57696,"RAB33B","RAB33B, member RAS oncogene family",83452,"4","n/a","n/a"
1090532,"ENSG00000109113",58105,"RAB34","RAB34, member RAS oncogene family",83871,"17","n/a","n/a"
1090844,"ENSG00000111737",10863,"RAB35","RAB35, member RAS oncogene family",11021,"12","n/a","n/a"
1089109,"ENSG00000100228",9465,"RAB36","RAB36, member RAS oncogene family",9609,"22","n/a","n/a"
1100350,"ENSG00000172794",108276,"RAB37","RAB37, member RAS oncogene family",326624,"17","n/a","n/a"
1092336,"ENSG00000123892",23435,"RAB38","RAB38, member RAS oncogene family",23682,"11","n/a","n/a"
1101565,"ENSG00000179331",34023,"RAB39","RAB39, member RAS oncogene family",54734,"11","n/a","n/a"
1096864,"ENSG00000155961",77774,"RAB39B","RAB39B, member RAS oncogene family",116442,"X","n/a","n/a"
1090042,"ENSG00000105649",5832,"RAB3A","RAB3A, member RAS oncogene family",5864,"19","n/a","n/a"
1099503,"ENSG00000169213",5833,"RAB3B","RAB3B, member RAS oncogene family",5865,"1","n/a","n/a"
1096528,"ENSG00000152932",77715,"RAB3C","RAB3C, member RAS oncogene family",115827,"5","n/a","n/a"
1090012,"ENSG00000105514",9404,"RAB3D","RAB3D, member RAS oncogene family",9545,"19","n/a","n/a"
1100283,"ENSG00000172476",80266,"RAB40A","RAB40A, member RAS oncogene family",142684,"X","n/a","n/a"
1089518,"ENSG00000102128",93772,"RAB40AL","RAB40A, member RAS oncogene family-like",282808,"X","n/a","n/a"
1095063,"ENSG00000141542",10808,"RAB40B","RAB40B, member RAS oncogene family",10966,"17","n/a","n/a"
1104315,"ENSG00000197562",37070,"RAB40C","RAB40C, member RAS oncogene family",57799,"16","n/a","n/a"
1095852,"ENSG00000147127",110271,"RAB41","RAB41, member RAS oncogene family",347517,"X","n/a","n/a"
1099250,"ENSG00000168118",5835,"RAB4A","RAB4A, member RAS oncogene family",5867,"1","n/a","n/a"
1095510,"ENSG00000144566",5836,"RAB5A","RAB5A, member RAS oncogene family",5868,"3","n/a","n/a"
1090803,"ENSG00000111540",5837,"RAB5B","RAB5B, member RAS oncogene family",5869,"12","n/a","n/a"
1090477,"ENSG00000108774",5846,"RAB5C","RAB5C, member RAS oncogene family",5878,"17","n/a","n/a"
1100881,"ENSG00000175582",5838,"RAB6A","RAB6A, member RAS oncogene family",5870,"11","n/a","n/a"
1096761,"ENSG00000154917",31040,"RAB6B","RAB6B, member RAS oncogene family",51560,"3","n/a","n/a"
1088197,"ENSG00000075785",7833,"RAB7A","RAB7A, member RAS oncogene family",7879,"3","n/a","n/a"
1091587,"ENSG00000117280",8855,"RAB7L1","RAB7, member RAS oncogene family-like 1",8934,"1","n/a","n/a"
1099054,"ENSG00000167461",4193,"RAB8A","RAB8A, member RAS oncogene family",4218,"19","n/a","n/a"
1098718,"ENSG00000166128",31242,"RAB8B","RAB8B, member RAS oncogene family",51762,"15","n/a","n/a"
1092315,"ENSG00000123595",9232,"RAB9A","RAB9A, member RAS oncogene family",9367,"X","n/a","n/a"
1092309,"ENSG00000123570",30691,"RAB9B","RAB9B, member RAS oncogene family",51209,"X","n/a","n/a"
1095456,"ENSG00000144134",11000,"RABL2A","RAB, member of RAS oncogene family-like 2A",11159,"2","n/a","n/a"
1088357,"ENSG00000079974",10999,"RABL2B","RAB, member of RAS oncogene family-like 2B",11158,"22","n/a","n/a"
1095558,"ENSG00000144840",94526,"RABL3","RAB, member of RAS oncogene family-like 3",285282,"3","n/a","n/a"
1092946,"ENSG00000128581",41365,"RABL5","RAB, member RAS oncogene family-like 5",64792,"7","n/a","n/a"
1098473,"ENSG00000165105",81350,"RASEF","RAS and EF-hand domain containing",158158,"9","n/a","n/a"
1094025,"ENSG00000135597",59208,"REPS1","RALBP1 associated Eps domain containing 1",85021,"6","n/a","n/a"
1099656,"ENSG00000169891",9061,"REPS2","RALBP1 associated Eps domain containing 2",9185,"X","n/a","n/a"
1088354,"ENSG00000079841",22754,"RIMS1","regulating synaptic membrane exocytosis 1",22999,"6","n/a","n/a"
1101033,"ENSG00000176406",9555,"RIMS2","regulating synaptic membrane exocytosis 2",9699,"8","n/a","n/a"
1091558,"ENSG00000117016",9639,"RIMS3","regulating synaptic membrane exocytosis 3",9783,"1","n/a","n/a"
1089321,"ENSG00000101098",80082,"RIMS4","regulating synaptic membrane exocytosis 4",140730,"20","n/a","n/a"
1101072,"ENSG00000176641",85645,"RNF152","ring finger protein 152",220441,"18","n/a","n/a"
1088701,"ENSG00000089169",22651,"RPH3A","rabphilin 3A homolog (mouse)",22895,"12","n/a","n/a"
1103857,"ENSG00000196218",6228,"RYR1","ryanodine receptor 1 (skeletal)",6261,"19","n/a","n/a"
1104666,"ENSG00000198626",6229,"RYR2","ryanodine receptor 2 (cardiac)",6262,"1","n/a","n/a"
1104765,"ENSG00000198838",6230,"RYR3","ryanodine receptor 3",6263,"15","n/a","n/a"
1088839,"ENSG00000092108",23011,"SCFD1","sec1 family domain containing 1",23256,"14","n/a","n/a"
1102522,"ENSG00000184178",81072,"SCFD2","sec1 family domain containing 2",152579,"4","n/a","n/a"
1092076,"ENSG00000121542",26729,"SEC22A","SEC22 vesicle trafficking protein homolog A (S. cerevisiae)",26984,"3","n/a","n/a"
1088879,"ENSG00000093183",8994,"SEC22C","SEC22 vesicle trafficking protein homolog C (S. cerevisiae)",9117,"3","n/a","n/a"
1091599,"ENSG00000117394",6477,"SLC2A1","solute carrier family 2 (facilitated glucose transporter), member 1",6513,"1","n/a","n/a"
1104296,"ENSG00000197496",56742,"SLC2A10","solute carrier family 2 (facilitated glucose transporter), member 10",81031,"20","n/a","n/a"
1095772,"ENSG00000146411",81172,"SLC2A12","solute carrier family 2 (facilitated glucose transporter), member 12",154091,"6","n/a","n/a"
1100444,"ENSG00000173262",80351,"SLC2A14","solute carrier family 2 (facilitated glucose transporter), member 14",144195,"12","n/a","n/a"
1098010,"ENSG00000163581",6478,"SLC2A2","solute carrier family 2 (facilitated glucose transporter), member 2",6514,"3","n/a","n/a"
1087679,"ENSG00000059804",6479,"SLC2A3","solute carrier family 2 (facilitated glucose transporter), member 3",6515,"12","n/a","n/a"
1101976,"ENSG00000181856",6481,"SLC2A4","solute carrier family 2 (facilitated glucose transporter), member 4",6517,"17","n/a","n/a"
1095182,"ENSG00000142583",6482,"SLC2A5","solute carrier family 2 (facilitated glucose/fructose transporter), member 5",6518,"1","n/a","n/a"
1097422,"ENSG00000160326",11022,"SLC2A6","solute carrier family 2 (facilitated glucose transporter), member 6",11182,"9","n/a","n/a"
1104210,"ENSG00000197241",81243,"SLC2A7","solute carrier family 2 (facilitated glucose transporter), member 7",155184,"1","n/a","n/a"
1094267,"ENSG00000136856",29721,"SLC2A8","solute carrier family 2 (facilitated glucose transporter), member 8",29988,"9","n/a","n/a"
1090581,"ENSG00000109667",35886,"SLC2A9","solute carrier family 2 (facilitated glucose transporter), member 9",56606,"4","n/a","n/a"
1100192,"ENSG00000172139",94544,"SLC9A10","solute carrier family 9, member 10",285335,"3","n/a","n/a"
1095613,"ENSG00000145335",6582,"SNCA","synuclein, alpha (non A4 component of amyloid precursor)",6622,"4","n/a","n/a"
1088133,"ENSG00000074317",6580,"SNCB","synuclein, beta",6620,"5","n/a","n/a"
1100446,"ENSG00000173267",6583,"SNCG","synuclein, gamma (breast cancer-specific protein 1)",6623,"10","n/a","n/a"
1089375,"ENSG00000101298",9607,"SNPH","syntaphilin",9751,"20","n/a","n/a"
1101036,"ENSG00000176422",93935,"SPRYD4","SPRY domain containing 4",283377,"12","n/a","n/a"
1092509,"ENSG00000124900",58962,"SPRYD5","SPRY domain containing 5",84767,"11","n/a","n/a"
1102905,"ENSG00000185739",6310,"SRL","sarcalumenin",6345,"16","n/a","n/a"
1094026,"ENSG00000135604",8607,"STX11","syntaxin 11",8676,"6","n/a","n/a"
1091657,"ENSG00000117758",23426,"STX12","syntaxin 12",23673,"1","n/a","n/a"
1092394,"ENSG00000124222",8606,"STX16","syntaxin 16",8675,"20","n/a","n/a"
1094276,"ENSG00000136874",34303,"STX17","syntaxin 17",55014,"9","n/a","n/a"
1099412,"ENSG00000168818",32887,"STX18","syntaxin 18",53407,"4","n/a","n/a"
1101456,"ENSG00000178750",128955,"STX19","syntaxin 19",415117,"3","n/a","n/a"
1090147,"ENSG00000106089",6764,"STX1A","syntaxin 1A (brain)",6804,"7","n/a","n/a"
1088976,"ENSG00000099365",76608,"STX1B","syntaxin 1B",112755,"16","n/a","n/a"
1090796,"ENSG00000111450",2039,"STX2","syntaxin 2",2054,"12","n/a","n/a"
1098926,"ENSG00000166900",6769,"STX3","syntaxin 3",6809,"11","n/a","n/a"
1089711,"ENSG00000103496",6770,"STX4","syntaxin 4",6810,"16","n/a","n/a"
1097650,"ENSG00000162236",6771,"STX5","syntaxin 5",6811,"11","n/a","n/a"
1088356,"ENSG00000079950",8358,"STX7","syntaxin 7",8417,"6","n/a","n/a"
1099752,"ENSG00000170310",9342,"STX8","syntaxin 8",9482,"17","n/a","n/a"
1094266,"ENSG00000136854",6772,"STXBP1","syntaxin binding protein 1",6812,"9","n/a","n/a"
1088236,"ENSG00000076944",6773,"STXBP2","syntaxin binding protein 2",6813,"19","n/a","n/a"
1091456,"ENSG00000116266",6774,"STXBP3","syntaxin binding protein 3",6814,"1","n/a","n/a"
1098323,"ENSG00000164506",79620,"STXBP5","syntaxin binding protein 5 (tomosyn)",134957,"6","n/a","n/a"
1095585,"ENSG00000145087",9374,"STXBP5L","syntaxin binding protein 5-like",9515,"3","n/a","n/a"
1099447,"ENSG00000168952",28827,"STXBP6","syntaxin binding protein 6 (amisyn)",29091,"14","n/a","n/a"
1097249,"ENSG00000159164",9756,"SV2A","synaptic vesicle glycoprotein 2A",9900,"1","n/a","n/a"
1102851,"ENSG00000185518",9755,"SV2B","synaptic vesicle glycoprotein 2B",9899,"15","n/a","n/a"
1092128,"ENSG00000122012",22742,"SV2C","synaptic vesicle glycoprotein 2C",22987,"5","n/a","n/a"
1095930,"ENSG00000147642",34927,"SYBU","syntabulin (syntaxin-interacting)",55638,"8","n/a","n/a"
1098032,"ENSG00000163630",79506,"SYNPR","synaptoporin",132204,"3","n/a","n/a"
1089491,"ENSG00000102003",6815,"SYP","synaptophysin",6855,"X","n/a","n/a"
1087075,"ENSG00000008282",6816,"SYPL1","synaptophysin-like 1",6856,"7","n/a","n/a"
1095233,"ENSG00000143028",94353,"SYPL2","synaptophysin-like 2",284612,"1","n/a","n/a"
1087891,"ENSG00000067715",6817,"SYT1","synaptotagmin I",6857,"12","n/a","n/a"
1090732,"ENSG00000110975",109937,"SYT10","synaptotagmin X",341359,"12","n/a","n/a"
1093559,"ENSG00000132718",22963,"SYT11","synaptotagmin XI",23208,"1","n/a","n/a"
1100436,"ENSG00000173227",60082,"SYT12","synaptotagmin XII",91683,"11","n/a","n/a"
1087258,"ENSG00000019505",36859,"SYT13","synaptotagmin XIII",57586,"11","n/a","n/a"
1095334,"ENSG00000143469",90311,"SYT14","synaptotagmin XIV",255928,"1","n/a","n/a"
1105038,"ENSG00000204176",58083,"SYT15","synaptotagmin XV",83849,"10","n/a","n/a"
1094825,"ENSG00000139973",58085,"SYT16","synaptotagmin XVI",83851,"14","n/a","n/a"
1089717,"ENSG00000103528",31240,"SYT17","synaptotagmin XVII",51760,"16","n/a","n/a"
1095410,"ENSG00000143858",79247,"SYT2","synaptotagmin II",127833,"1","n/a","n/a"
1105802,"ENSG00000213023",58468,"SYT3","synaptotagmin III",84258,"19","n/a","n/a"
1093584,"ENSG00000132872",6820,"SYT4","synaptotagmin IV",6860,"18","n/a","n/a"
1093104,"ENSG00000129990",6821,"SYT5","synaptotagmin V",6861,"19","n/a","n/a"
1093763,"ENSG00000134207",80700,"SYT6","synaptotagmin VI",148281,"1","n/a","n/a"
1087159,"ENSG00000011347",8944,"SYT7","synaptotagmin VII",9066,"11","n/a","n/a"
1096086,"ENSG00000149043",59835,"SYT8","synaptotagmin VIII",90019,"11","n/a","n/a"
1099851,"ENSG00000170743",80310,"SYT9","synaptotagmin IX",143425,"11","n/a","n/a"
